キャリア,機種名,メーカー,ニックネーム,発売日,シリーズ,マークアップ言語,ブラウザバージョン,通信速度,画像階調,GIF,JPEG,PNG,BMP2,BMP4,MNG,通信方式,SSL対応,カメラの画素数,第二カメラの画素数,アプリケーション対応,アプリケーション種類,アプリケーションバージョン,アプリケーション最大容量,外部メモリースロットとメディアの種類,和音数,着うた対応,着うたフル対応,着ムービー対応,QR対応,Felica対応,Bluetooth対応,FLASH対応,ルートCA証明書VeriSign,ルートCA証明書Entrust,ルートCA証明書Cyber Trust,ルートCA証明書Geotrust,ルートCA証明書RSA Security,QVGA画面,フルブラウザ対応,赤外線対応,添付ファイルビューアー対応,GPS対応,MOVIE形式,フルブラウザバージョン,フルブラウザUSER-AGENT,添付受信サイズ,Flashバージョン,キャッシュ容量,ワンセグ対応,テレビ電話対応,office文書WebDL,officeファイル表示可能サイズ,Cookie,機体番号送信,モバイルSuica,メールURL長,BookMarkURL長,ブラウザURL長,プッシュ型情報配信,メール件名文字数,アニメーションGIF,透過GIF,添付送信サイズ,HTMLメール,きせかえツール,タッチパネル,横画面用待受設定,横画面ブラウザ対応,最終更新日
SoftBank,830P,Panasonic,,2008/11/1,3GC,HTML Ver.4/XHTML,1.x,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,200万画素,,Y,Java,MIDP2.0,1M,microSD,40,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,3gp,NetFront V3.4,Mozilla/4.08 (830P;SoftBank) NetFront/3.4,300K,Flash Lite 2.0,307200,N,Y,N,-,C,Y,N,256,256,256,Y,256,Y,Y,300K,Y,N,N,N,N,2008/11/4
SoftBank,830SH,SHARP,NEW PANTONE,2008/10/4,3GC,HTML Ver.4/XHTML,1.x,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,200万画素,,Y,Java,MIDP2.0,1M,microSD HC,40,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,3gp,NetFront V3.4,Mozilla/5.0 (830SH;SoftBank) NetFront/3.4,300K,Flash Lite 2.0,307200,N,Y,Y,300K,C,Y,Y,256,256,256,Y,256,Y,Y,300K,Y,Y,N,N,N,2008/10/6
SoftBank,830SH for Biz,SHARP,,2009/2/20,3GC,HTML Ver.4/XHTML,1.x,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,200万画素,,Y,Java,MIDP2.0,1M,microSD HC,40,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,3gp,NetFront V3.4,Mozilla/5.0 (830SHe;SoftBank) NetFront/3.4,300K,Flash Lite 2.0,307200,N,Y,Y,300K,C,Y,N,256,256,256,Y,256,Y,Y,300K,Y,Y,N,N,N,2009/2/24
SoftBank,830SHs,SHARP,GENT,2008/10/25,3GC,HTML Ver.4/XHTML,1.X,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,200万画素,,Y,Java,MIDP2.0,1M,microSD HC,40,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,3gp,NetFront V3.4,Mozilla/5.0 (830SHs;SoftBank) NetFront/3.4,300K,Flash Lite 2.0,307200,N,Y,Y,300K,C,Y,Y,256,256,256,Y,256,Y,Y,300K,Y,Y,N,N,N,2008/10/27
SoftBank,830T,TOSHIBA,fanfun.2,2008/12/5,3GC,HTML Ver.4/XHTML,1.x,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,196万画素,31万画素,Y,Java,MIDP2.0,1M,microSD HC,128,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,3gp,NetFront V3.4,Mozilla/4.08 (830T;SoftBank) NetFront/3.3,300K,Flash Lite 2.0,307200,Y,Y,N,-,C,Y,Y,256,256,256,Y,256,Y,Y,300K,Y,Y,N,N,N,2008/12/5
SoftBank,831P,Panasonic,,2009/2/27,3GC,HTML Ver.4/XHTML,1.x,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,200万画素,,Y,Java,MIDP2.0,1M,microSD,40,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,3gp,NetFront V3.4,Mozilla/4.08 (831P;SoftBank) NetFront/3.4,300K,Flash Lite 2.0,307200,Y,Y,N,-,C,Y,N,256,256,256,Y,256,Y,Y,300K,Y,Y,N,N,N,2009/2/27
SoftBank,831SH,SHARP,,2009/2/13,3GC,HTML Ver.4/XHTML,1.x,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,320万画素,,Y,Java,MIDP2.0,1M,microSD HC,64,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,3gp,NetFront V3.5,Mozilla/5.0 (831SH;SoftBank) NetFront/3.5,1M,Flash Lite 3.0,307200,Y,Y,Y,1M,C,Y,Y,256,256,256,Y,256,Y,Y,1M,Y,Y,N,N,N,2009/2/13
SoftBank,831SHs,SHARP,GENT,2009/5/19,3GC,HTML Ver.4/XHTML,1.x,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,320万画素,,Y,Java,MIDP2.0,1M,microSD HC,64,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,3gp,NetFront V3.5,Mozilla/5.0 (831SHs;SoftBank) NetFront/3.5,1M,Flash Lite 3.0,307200,Y,Y,Y,1M,C,Y,Y,256,256,256,Y,256,Y,Y,1M,Y,Y,N,N,N,2009/5/19
SoftBank,831T,TOSHIBA,fanfun.petit,2008/12/12,3GC,HTML Ver.4/XHTML,1.x,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,196万画素,,Y,Java,MIDP2.0,1M,microSD HC,128,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,3gp,,,300K,Flash Lite 2.0,307200,N,Y,N,-,C,Y,N,256,256,256,N,256,Y,Y,300K,Y,Y,N,N,N,2008/12/12
SoftBank,832P,Panasonic,,2009/5/22,3GC,HTML Ver.4/XHTML,1.x,7.2Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,322万画素,,Y,Java,MIDP2.0,1M,microSD HC,128,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,3gp,NetFront V3.4,Mozilla/4.08 (832P;SoftBank) NetFront/3.4,300K,Flash Lite 3.0,307200,Y,Y,N,-,C,Y,Y,256,256,256,Y,256,Y,Y,300K,Y,Y,N,N,N,2009/5/22
